n,expr,real,imag,status
7,((i^i)^(i^(i^((i^i)^i)))),0.0435506283189283599045127803247722840548039921715462558088322358623154266901792743114211483112745770510785090404918149354467415454689399254022965733184397776215535518940784881107364721620461926911788744490465230717355344809522586283931463279855180077153961999801303460042753455074798410890572567002573,-0.629304257675708234747787526654887278829556044606191515007407982396359632366249137965458855276898366992324021164350126036049225431775816694639839379638900357011119147554023459553235749482946730561765574521402104274778130416864605977062388912036683989462544182660753228490166319811928707623443590017021,ok
7,(i^(i^(((i^i)^i)^(i^i)))),0.0732211503296743932024504444008589621834689552541270646263590145097757451062128219925393508112271069663845975350158777093095023231799762935262507260309906384838928519149913409887312294190541781644343364414242834990078659333101406439028487034745672841617184735970209898865283884464883542848159776312483,0.0160313368734803855633205528533637729867106041870795257361875829573029406035232213254259834751782346256066425198901758665219425886417454052885805176350306138042245150079114506912926495372507961697213814306690575297215643158758924612739013719628907734398282274905294413730445878208489405152358820149729,ok
7,((i^i)^(i^((i^i)^(i^i)))),0.0757916586688165728718717511312410400884995845163297840880552821345387794212450572447530911145468538365498135669619941599431732411658373339111396469126186590774183029476417558375942694168533706257485517379995063208445737456535186712054166456075910883234315966920405264467512565901033462731626782468084,-0.508322679645020429321124416066204743146387474434359817548987577920353819616342103809110437916429333700423360928183861364579957196452855005863248488592542001134176153988587941057472489003215984475940172643622839446592871670582058557513761279705129420991279612070378390758786298645850006413175972439662,ok
7,(i^(((i^i)^(i^i))^(i^i))),0.102905190032355236256598038947597531073036819235387352980655161374238661410578908059723747874398351679643895280956614714675268738415207320986020566704390519405165014939017882774058389796467862286142877046598878732122989608345456161383368971018407178075818970814862064419669265957518513555835911640169,0.994691169089383670562176006521151826044174764056601358753230084705324881755961894376835735011475446793367531564011093400424962138784463421236141381989088662866115055839233477618105292896803398982646812503048371405445649759964522760042993036263020740885798523490341475242699841316609860168520111480975,ok
7,((i^(i^(i^i)))^(i^(i^i))),0.122296826878482963139937369086940050318937520140823969408198310292465260679691291714972951304541527170846500379241143038563528437047391451429611405116338771329531623292598313818071691674690701931927532356824133927850273738905249189462655120511578427447806732490394330283843134682563678460234158767505,0.365079532805238659770560306274283732710456998566542212244731485891474589259689846133717707948052391856493040719162644870171796707668797844937265301691170818792366577943564053346484277621245613710405191197951381282342808703996127551834261471223596947464878485438060614983645960681341619357184731132099,ok
7,(i^(i^(i^(i^(i^(i^i)))))),0.142561823163666776214833729409666883364196022341382518565142994616775188488969156018916771773896293135604191232715311553838100784972376715797660034604126838954527444540178210404613357485051170978722831039156335437666886252900867648280090747057640000376109136543531931188426875809705304796936345797951,0.400466525337087306984928975118417089166584748855117754776257507776778625973321069579466545952078472161991537074276910011866977682628946790988115237860651591273671897552039018364256917571518669285966540409064384370908217630888655734395276515481650887640889918330016827110021585218066899735112427416625,ok
7,(i^((i^(i^i))^(i^(i^i)))),0.143987568351497219818086237408995190334498181044484100208154807697273834955576618275259554735362409031238026130779692313579405297414299683735880547207417158220322764034150072427187292393676633699538307761641394359593643500012507393212561434030456920715488841051724114159809944075700047528503241210842,0.633995861134206514902496212714501244826602113110673432266937382348708397459322605562101095689269155015503348619465224131572841975996312659242245073378669148258706929787057483353499022422923241520266448304985995940607514251112359320078219887567836729121736261414895152323959769076138218692581371662433,ok
7,((i^i)^(((i^i)^i)^(i^i))),0.197800938517902055184995700619250127449021505952392355919451985749207274846363736431131880398111816575119804990675045230033059381790228882004308508163644906860069382288675882009299609008997520030672345593422606447861460332412258959174107132821396298579973091545200305618050146080688477906005062931123,0.109051494282689893239767228960332250675917726419076583963766573000387047442213116182352139771885207955729801034597932466800163525997637782549007214891962856181742794414228214209539361221197665352684992918539730526762074149358692501157687585190526250723046539554667799951265500888380953099274138947725,ok
7,((i^i)^((i^(i^i))^(i^i))),0.207449899221594249902430918527464601564367839576518471593354801114890764917758677501442979292508661222849957368967831528707252713591090141923860484528560112184057681176154617368242706041837986142570674468601119712409647003582383936208437864835237323306325604132449615679456364880946193827304974508636,-0.0221865996814698453868809747668341163679430772644052941802369363874820265942914857158232073652553646336956789065585689336417220448389594477530373850839743000617764248936767015076565199566515377317489916607745302500471917540509375649412489997084726735753121943217847908921361201534237796598778509376142,ok
7,(i^(i^((i^(i^i))^(i^i)))),0.24364376726212429659932835044350960034670768878917698398521869290315684499118070464136474302971087346263903833175963337010624383291623724527304928937254760082542535989567311405039013473558691751658422175449676782838684048400821091163098951751273957321400824695067933484151059832262591476877147306718,0.00124456222500446051592824039926185965322328979088090408053782548457380433924339206563566343572208447673344389446643951372523955277258494101983892641981349549224292353246319602179896286682886710799019979267635481203475934568252522124045589126611997417266325244935966477530697673713429247815002884810884,ok
7,(((i^i)^i)^(i^((i^i)^i))),0.29332352377820367044048593550211789395396910494267333029075526845825982219001863584234948780581803100534270608696373417708099259922108280138328467156164987577906422071704763228424209825110324818133720685261298793659607558833940848967727184462129286208670704334701986705541966747723746881585679810391,-0.956013237564385185717674229540253706894645551423522921689239796010556384304635502784968535135827370240300317993715450387284209748755806066965082026963774164917838072172613175229329915581594628706601678407611154151685325965325545910217678793748110316157931613695939422551208820018523970398907966250591,ok
7,(((i^i)^i)^((i^i)^(i^i))),0.423762748410599168005228299484590392811535321964136984682504181679717406143510754595571787369493977862875963960771313980604481164108844059023120700101635500451628957018103630866192105167543359667949959236432818433551486384061138078880106277067317960681044751989704333456601579660060336687088138764928,-0.9057732238587621399430116875512887062031896158445990240979869353485485927650795455203544602427771776315515363749659270855756859135213949344956730604381027189987694160443151351807612898683658086952792329864593484568956316989738364430589203238867947924618889417272524876968983016730049569381825995736,ok
7,((i^i)^(i^(i^(i^(i^i))))),0.543726266764139521012761150352238336184878948770952294364708172614594383085307033982745102274814102095195342428144478484135979909589199233523088490557420163708915065660765103242121161871839528100153164008058604328830881964290444934436727667009866895180800535440386450234741829956500233739589248374643,-0.026092670269699735114808201934208575457555671709398541064704889208847910190220809689321839872320995919034922059949727762481358547686628005184851242217317738759912011685853850200601761368184014917437436643329844209409883875625922329335533806652852522294973708074170717808645300436138080401616486898609,ok
7,((i^i)^((i^i)^(i^(i^i)))),0.722203189822091404506713697986836944610995226841430559175314828112521162091373743648255665691230294318183951567208413423049524460583074109754459418076226286187079514361214279776359184883703383946203345139012012337220883000221868674365308541083506024490444944746273589239195711271944889893963196936051,0.124936128874359260573517834181267872831975618835400724338710231899266412060581387192226126881128918478547831846360992184640608433551367870514262695823591303361980046867704299227140901731687629850191922736001844346504816238789902049349423383317518086193878360906554923010637196418063890014761052902942,ok
7,(((i^i)^(i^i))^(i^(i^i))),0.729951351492614059216046749926944631017179912137841356869705072445629042208194355534590192909109158808957735042393383061904893236085874116377948866311056864619911295840044975414328006078505889018309732402170483813564204220882010079909112316783156819132315072129911665671919035834956046943634189203105,-0.0767368737367337488917435003393600330518728304060146319351280240271813658744312552571724944846777983979687288260414662996483508202082767428721895427954181757884304942078979730267206518936766243508865292879486673838103422812298887262824458802845084330663048014308466938060830116980402238410448335835265,ok
7,(i^(i^(i^((i^i)^(i^i))))),0.756660463546546677900418707960468160067509256990661323515958070583887384176281890911142977907816201684969118830035285742088481575036686194004110060864440968369713803023147799017614132999031439740933045753455562731703383777856478518927370844396787719113603479886650793597936212282846060710458350251004,0.232237771849374563910588751791379159691328687941783201572760537531545788173898835090030305244242878122690137999830531754852012146537514336795542141874904822274056115844980482623871998471340306575782817425494966619718849639241301326380715855367699417124415608044003705723369487668464732910647615281696,ok
7,(i^(i^(i^(i^((i^i)^i))))),0.814232487922220329369540216550264623039426506729501388963304810082198322892287333764602110398251147834534367687726083871774712314340134823315271099637263696423184264486021150060757836687844342168376234409669862241921553700686063179653916644348022576726803306446697175466259865604263632382564490092329,0.263884358395538343678763199180524700882779995718439329428320186822711677630989061860920359064477613516552837792324063645254256972892953737264890250775009841436340796984962078485985474161760365030137319850554840492946398425030067573694084816116793396874599393917932118837514980365840941163096994462426,ok
7,((i^(i^i))^(i^(i^(i^i)))),0.821398594149632999089807244212056356906753481656807973809814878465604186938381728264389803996485086059027203053985916009459467080431075921378219613975015574230348044151729071668791804621050858385923300863568586566202274124046666134807023746529028317112942445562118692261621630787759859375142821130025,0.0134367676839220788532084727329465553239471425544671499462805799722389169987602237631992703929307432463775142567470994494653052550174843908542517822578758248907423795940751607135342325649822282414417725226045622044646298495445765612633572109461301238535612538644831465112162080549983452161219367254164,ok
